record_index,RXN:VAR(1):CAS_Reaction_Number,RXN:RCT(1):CAS_RN,RXN:RCT(2):CAS_RN,RXN:RCT(3):CAS_RN,RXN:RCT(4):CAS_RN,RXN:PRO(1):CAS_RN,RXN:VAR(1):PRO(1):YIELD,RXN:VAR(1):REFERENCE(1):AUTHOR,RXN:VAR(1):REFERENCE(1):TITLE,RXN:VAR(1):REFERENCE(1):CITATION,RXN:VAR(1):NOTES,RXN:VAR(1):CAT(1):CAS_RN,RXN:VAR(1):CAT(2):CAS_RN,RXN:VAR(1):CAT(3):CAS_RN,RXN:VAR(1):CAT(4):CAS_RN,RXN:VAR(1):RGT(1):CAS_RN,RXN:VAR(1):RGT(2):CAS_RN,RXN:VAR(1):RGT(3):CAS_RN,RXN:VAR(1):RGT(4):CAS_RN,RXN:VAR(1):RGT(5):CAS_RN,RXN:VAR(1):RGT(6):CAS_RN,RXN:VAR(1):SOL(1):CAS_RN,RXN:VAR(1):SOL(2):CAS_RN,RXN:VAR(1):SOL(3):CAS_RN,RXN:VAR(1):SOL(4):CAS_RN,RXN:VAR(1):SOL(5):CAS_RN,yield_percent,year
251,31-614-CAS-38653963,29344-76-1,1881218-75-2,,,3023554-50-6,91,"Wu, Ze-Hua; Skabeev, Artem; Zagranyarski, Yulian; Duan, Ruomeng; Jin,",High-Performance Near-Infrared Chlorinated Rylenecarboximide Fluorophores,"Angewandte Chemie, International Edition (2023), 62(52), e202315156",,2622-14-2,3375-31-3,13716-12-6,51364-51-3,865-48-5,,,,,,108-88-3,,,,,91,2023.0
252,31-614-CAS-35422519,281192-91-4,679431-52-8,,,2898499-82-4,91,"Reichert, Elaine C.; Feng, Kaibo; Sather, Aaron C.; Buchwald, Stephen L.",Pd-Catalyzed Amination of Base-Sensitive Five-Membered Heteroaryl Halides,"Journal of the American Chemical Society (2023), 145(6), 3323-3329","sealed Schlenk tube used, thermal in stage 2",2489525-81-5,,,,18027-10-6,,,,,,109-99-9,,,,,91,2023.0
253,31-614-CAS-39194486,1914543-70-6,2411689-65-9,,,3033294-90-2,91,"Wu, Chenggui; Liu, Ze-Shui; Shang, Yong; Liu, Chang; Deng, Shuang; Cheng,",Asymmetric Two-Component Alkenyl Catellani Reaction for the Construction,"Chinese Journal of Chemistry (2024), 42(7), 699-704","stereoselective (ee = 91%), Catellani reaction, sealed vial used",3375-31-3,2248160-18-9,,,584-08-7,,,,,,109-99-9,,,,,91,2024.0
254,31-614-CAS-39194498,1309974-95-5,1914543-70-6,,,3033295-03-0,91,"Wu, Chenggui; Liu, Ze-Shui; Shang, Yong; Liu, Chang; Deng, Shuang; Cheng,",Asymmetric Two-Component Alkenyl Catellani Reaction for the Construction,"Chinese Journal of Chemistry (2024), 42(7), 699-704","stereoselective (ee = 76%), Catellani reaction, sealed vial used",3375-31-3,2248160-18-9,,,584-08-7,,,,,,109-99-9,,,,,91,2024.0
255,31-614-CAS-38969963,95-50-1,74248-47-8,,,3026215-48-2,91,"Fan, Ruoqian; Wen, Haili; Chen, Zhen; Xia, Yuanzhi; Fang, Weiwei",A General Protocol toward Synthesis of 3-Methylindoles Using,"Organic Letters (2024), 26(1), 22-28",Schlenk tube used,2873417-75-3,,,,865-48-5,,,,,,123-91-1,,,,,91,2024.0
256,31-614-CAS-38722563,110-91-8,3023658-40-1,,,3023658-42-3,91,"Hansjacob, Pierre; Schwoerer, Celia; Leroux, Frederic R.; Donnard, Morgan",Synthesis of 2-amidoindenone derivatives through an ynamide,"Organic & Biomolecular Chemistry (2024), 22(1), 70-73","Buchwald-Hartwig coupling, sealed tube used",3375-31-3,98327-87-8,,,534-17-8,,,,,,108-88-3,,,,,91,2024.0
257,31-614-CAS-38030219,110-91-8,112398-75-1,,,888323-32-8,91,"Ouyang, Jia-Sheng; Zhang, Xinhuan; Pan, Bendu; Zou, Haobin; Chan, Albert",Solvent-Free Buchwald-Hartwig Amination of Heteroaryl Chlorides by,"Organic Letters (2023), 25(41), 7491-7496","green chemistry, no solvent, Buchwald-Hartwig amination, Schlenk tube",2585661-86-3,,,,865-48-5,,,,,,,,,,,91,2023.0
258,31-614-CAS-43161592,122-39-4,3066296-27-0,3066296-28-1,,3066296-48-5,91,"Mei, Kuan; Huang, Rui; Huang, Haiyang; Bao, Hongli",Synthesis of E-3-Alkenyl 2H-Indazoles via Pd/Cu-Catalyzed,"ACS Catalysis (2024), 14(24), 18765-18773",Schlenk tube used,3375-31-3,,,,865-47-4,131274-22-1,,,,,95-47-6,,,,,91,2024.0
259,31-614-CAS-41335300,14003-34-0,109179-31-9,,,3060704-96-0,91,"Wang, Wei; Jiang, Mingwei; Li, Junwei; Wang, Fen; Li, Xiao-Xi; Zhao,",Intermolecular Buchwald-Hartwig Reactions for Enantioselective Synthesis,"Journal of the American Chemical Society (2024), 146(24), 16567-16580","stereoselective, %ee = 90",52522-40-4,849924-41-0,,,7778-53-2,,,,,,1634-04-4,,,,,91,2024.0
260,31-614-CAS-40129192,3036635-69-2,,,,3047886-77-8,91,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, 92% ee, see experimental details,",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,91,2023.0
261,31-614-CAS-40733428,100-63-0,104-87-0,591-50-4,630-08-0,3047136-41-1,91,"Liang, Qianqian; Gao, Shuo; Hao, Wentao; Zhang, Guoying",Palladium-Catalyzed Multicomponent Carbonylation of Halides to,"Journal of Organic Chemistry (2024), 89(12), 8537-8545","high pressure, stereoselective, autoclave used",53199-31-8,,,,1310-73-2,,,,,,100-66-3,,,,,91,2024.0
262,31-614-CAS-38970015,589-09-3,1327649-85-3,,,3026215-78-8,91,"Fan, Ruoqian; Wen, Haili; Chen, Zhen; Xia, Yuanzhi; Fang, Weiwei",A General Protocol toward Synthesis of 3-Methylindoles Using,"Organic Letters (2024), 26(1), 22-28","chemoselective, Schlenk tube used, catalyst stoichiometry dependent",2873417-75-3,,,,865-48-5,,,,,,123-91-1,,,,,91,2024.0
263,31-614-CAS-35422509,110-91-8,20493-60-1,,,2898499-02-8,91,"Reichert, Elaine C.; Feng, Kaibo; Sather, Aaron C.; Buchwald, Stephen L.",Pd-Catalyzed Amination of Base-Sensitive Five-Membered Heteroaryl Halides,"Journal of the American Chemical Society (2023), 145(6), 3323-3329",sealed Schlenk tube used,2489525-81-5,,,,18027-10-6,12125-02-9,,,,,109-99-9,141-78-6,7732-18-5,,,91,2023.0
264,31-614-CAS-38030207,110-91-8,17249-80-8,,,1006-76-4,91,"Ouyang, Jia-Sheng; Zhang, Xinhuan; Pan, Bendu; Zou, Haobin; Chan, Albert",Solvent-Free Buchwald-Hartwig Amination of Heteroaryl Chlorides by,"Organic Letters (2023), 25(41), 7491-7496","green chemistry, no solvent, Buchwald-Hartwig amination, Schlenk tube",2585661-86-3,,,,865-48-5,,,,,,,,,,,91,2023.0
265,31-614-CAS-38558262,1895-39-2,36684-48-7,,,2142-05-4,91,"Hu, Chengxian; Wang, Lu; Wu, Yuanyuan; Zheng, Yonglong; Fu, Ying; Du,",Synthesis of N-substituted phthalimides via Pd-catalyzed [4+1],"Chemical Communications (Cambridge, United Kingdom) (2023), 59(100),",sealed tube used,3375-31-3,166330-10-5,,,584-08-7,,,,,,68-12-2,,,,,91,2023.0
266,31-614-CAS-40129196,3036635-55-6,,,,3047886-63-2,91,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, 92% ee, see experimental details,",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,91,2023.0
267,31-614-CAS-43376625,106-37-6,135-67-1,,,71041-22-0,91,"Mohd Jamel, Nor Shafiq; Skhirtladze, Levani; Hussein, Aqeel A.; Ma,",Microwave-Assisted Buchwald-Hartwig Double Amination: A Rapid and,"ACS Omega (2024), 9(51), 50446-50457","microwave irradiation (microwave irradiation (200W)), Buchwald-Hartwig",51364-51-3,564483-18-7,,,865-48-5,,,,,,108-88-3,,,,,91,2024.0
268,31-614-CAS-36602338,109-97-7,2928617-57-4,21190-87-4,,2928616-82-2,91,"He, Jia; Wang, Luzhen; Mi, DaZhao; Guan, Tian; Liu, Wenjing; He, Peng;",Discovery of Pyrimidinediamine Derivatives as Potent Methuosis Inducers,"Journal of Medicinal Chemistry (2023), 66(11), 7421-7437",thermal (thermal process (stage 1)),51364-51-3,161265-03-8,7440-05-3,,534-17-8,1333-74-0,2592-95-2,25952-53-8,,,108-88-3,67-56-1,68-12-2,,,91,2023.0
269,31-614-CAS-39194496,1914543-70-6,2556666-95-4,,,3033295-04-1,91,"Wu, Chenggui; Liu, Ze-Shui; Shang, Yong; Liu, Chang; Deng, Shuang; Cheng,",Asymmetric Two-Component Alkenyl Catellani Reaction for the Construction,"Chinese Journal of Chemistry (2024), 42(7), 699-704","stereoselective (ee = 96%), thermal, Catellani reaction, sealed vial",3375-31-3,5518-52-5,2248160-18-9,,584-08-7,,,,,,109-99-9,,,,,91,2024.0
270,31-614-CAS-41335290,109179-31-9,643752-95-8,,,3060704-85-7,91,"Wang, Wei; Jiang, Mingwei; Li, Junwei; Wang, Fen; Li, Xiao-Xi; Zhao,",Intermolecular Buchwald-Hartwig Reactions for Enantioselective Synthesis,"Journal of the American Chemical Society (2024), 146(24), 16567-16580","stereoselective, %ee = 92",52522-40-4,849924-41-0,,,7778-53-2,,,,,,1634-04-4,,,,,91,2024.0
271,31-614-CAS-41335284,607-66-9,109179-31-9,,,3060704-81-3,91,"Wang, Wei; Jiang, Mingwei; Li, Junwei; Wang, Fen; Li, Xiao-Xi; Zhao,",Intermolecular Buchwald-Hartwig Reactions for Enantioselective Synthesis,"Journal of the American Chemical Society (2024), 146(24), 16567-16580","stereoselective, %ee = 91",52522-40-4,849924-41-0,,,7778-53-2,,,,,,1634-04-4,,,,,91,2024.0
272,31-614-CAS-35475454,1753-75-9,6267-02-3,,,2766694-16-8,91,"Ma, You-Ping; Wang, Guoliang; Zhao, Min; Shi, Zi-Fa; Miao, Yanqin; Cao,",A red thermally activated delayed fluorescence emitter based on,"Dyes and Pigments (2023), 212111084",,51364-51-3,,,,865-48-5,131274-22-1,,,,,108-88-3,,,,,91,2023.0
273,31-614-CAS-38064655,34941-91-8,392338-15-7,,,3033861-40-1,91,"Liu, Longbin; Malagu, Karine; Haughan, Alan F.; Khetarpal, Vinod; Stott,",Identification and Optimization of RNA-Splicing Modulators as Huntingtin,"Journal of Medicinal Chemistry (2023), 66(18), 13205-13246",Buchwald-Hartwig coupling,51364-51-3,98327-87-8,,,,,,,,,108-88-3,,,,,91,2023.0
274,31-614-CAS-36602318,100-01-6,19646-07-2,57260-71-6,21190-87-4,2928616-69-5,91,"He, Jia; Wang, Luzhen; Mi, DaZhao; Guan, Tian; Liu, Wenjing; He, Peng;",Discovery of Pyrimidinediamine Derivatives as Potent Methuosis Inducers,"Journal of Medicinal Chemistry (2023), 66(11), 7421-7437",,7440-05-3,,,,534-17-8,7087-68-5,1333-74-0,2592-95-2,25952-53-8,7647-01-0,68-12-2,71-36-3,67-56-1,75-09-2,123-91-1,91,2023.0
275,31-614-CAS-38969961,95-50-1,477983-23-6,,,2330823-59-9,91,"Fan, Ruoqian; Wen, Haili; Chen, Zhen; Xia, Yuanzhi; Fang, Weiwei",A General Protocol toward Synthesis of 3-Methylindoles Using,"Organic Letters (2024), 26(1), 22-28",Schlenk tube used,2873417-75-3,,,,865-48-5,,,,,,123-91-1,,,,,91,2024.0
276,31-614-CAS-38030202,110-91-8,13790-39-1,,,21584-64-5,91,"Ouyang, Jia-Sheng; Zhang, Xinhuan; Pan, Bendu; Zou, Haobin; Chan, Albert",Solvent-Free Buchwald-Hartwig Amination of Heteroaryl Chlorides by,"Organic Letters (2023), 25(41), 7491-7496","green chemistry, no solvent, Buchwald-Hartwig amination, Schlenk tube",2585661-86-3,,,,865-48-5,,,,,,,,,,,91,2023.0
277,31-614-CAS-40985570,104-92-7,110-89-4,,,5097-25-6,91,"Kim, Sojung F.; Schwarz, Henrik; Jurczyk, Justin; Nebgen, Bailey R.;","Mechanistic Investigation, Wavelength-Dependent Reactivity, and Expanded","Journal of the American Chemical Society (2024), 146(8), 5580-5596","sealed vial used, no solvent, Buchwald-Hartwig coupling",3375-31-3,787618-22-8,,,865-48-5,,,,,,,,,,,91,2024.0
278,31-614-CAS-35203608,92-84-2,452-63-1,,,2888555-70-0,90,"Gao, Mingxue; Tian, Yu; Li, Xiaoning; Gong, Yanxiang; Fang, Manman; Yang,","The Effect of Molecular Conformations and Simulated ""Self-Doping"" in","Angewandte Chemie, International Edition (2023), 62(5), e202214908",Schlenk tube used,3375-31-3,,,,865-47-4,13716-12-6,,,,,108-88-3,,,,,90,2023.0
279,31-614-CAS-40733427,100-63-0,591-50-4,620-23-5,630-08-0,3047136-42-2,90,"Liang, Qianqian; Gao, Shuo; Hao, Wentao; Zhang, Guoying",Palladium-Catalyzed Multicomponent Carbonylation of Halides to,"Journal of Organic Chemistry (2024), 89(12), 8537-8545","high pressure, stereoselective, autoclave used",53199-31-8,,,,1310-73-2,,,,,,100-66-3,,,,,90,2024.0
280,31-614-CAS-40733467,100-52-7,100-63-0,630-08-0,637-87-6,3047136-57-9,90,"Liang, Qianqian; Gao, Shuo; Hao, Wentao; Zhang, Guoying",Palladium-Catalyzed Multicomponent Carbonylation of Halides to,"Journal of Organic Chemistry (2024), 89(12), 8537-8545","high pressure, stereoselective, autoclave used, alternative preparation",53199-31-8,,,,1310-73-2,,,,,,100-66-3,,,,,90,2024.0
281,31-614-CAS-40129235,3036636-26-4,,,,3047887-38-4,90,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, >20:1 dr, see experimental details,",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,90,2023.0
282,31-614-CAS-39080854,174-78-7,3027255-80-4,,,3027255-67-7,90,"Zivkovic, Filip G.; Wycich, Gina; Liu, Linhao; Schoenebeck, Franziska","Access to N-Difluoromethyl Amides, (Thio)Carbamates, Ureas, and","Journal of the American Chemical Society (2024), 146(2), 1276-1281",sealed vial used,3375-31-3,13716-12-6,,,534-17-8,,,,,,108-88-3,,,,,90,2024.0
283,31-614-CAS-40129212,3036636-03-7,,,,3047887-12-4,90,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, 94% ee, see experimental details,",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,90,2023.0
284,31-614-CAS-40129292,3036635-02-3,,,,3047887-90-8,90,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, 93% ee",3375-31-3,76189-56-5,,,584-08-7,1310-73-2,,,,,108-88-3,123-91-1,,,,90,2023.0
285,31-614-CAS-36924727,606129-90-2,1229609-99-7,,,2942342-23-4,90,"Hsueh, Jen-Chun; Szu, Fu-En; Yu, Yin-Yin; Leung, Man-kit",Ortho-Lithiation driven one-pot synthesis of quinazolines via [2 + 2 + 2],"Organic & Biomolecular Chemistry (2023), 21(25), 5297-5304",Buchwald-Hartwig reaction,51364-51-3,564483-18-7,,,865-48-5,,,,,,108-88-3,,,,,90,2023.0
286,31-614-CAS-38969957,95-50-1,71954-46-6,,,876337-56-3,90,"Fan, Ruoqian; Wen, Haili; Chen, Zhen; Xia, Yuanzhi; Fang, Weiwei",A General Protocol toward Synthesis of 3-Methylindoles Using,"Organic Letters (2024), 26(1), 22-28",Schlenk tube used,2873417-75-3,,,,865-48-5,,,,,,123-91-1,,,,,90,2024.0
287,31-614-CAS-41071016,692279-78-0,3050665-49-8,,,3080208-44-9,90,"Jin, Liang; Li, Ya; Mao, Yihui; He, Xiao-Bao; Lu, Zhan; Zhang, Qi; Shi,",Chiral dinitrogen ligand enabled asymmetric Pd/norbornene cooperative,"Nature Communications (2024), 15(1), 4908","molecular sieves used, 91% ee, Schlenk tube used",51364-51-3,2641594-79-6,,,498-66-8,10294-26-5,,,,,108-88-3,7732-18-5,,,,90,2024.0
288,31-614-CAS-41198193,22439-61-8,3053062-95-3,,,3053062-97-5,90,"Zhong, Rui; Wang, Mengyu; Wang, Xingdong; Wang, Shumeng; Shao, Shiyang;","Ten-Dibenzothiophenyl-9,9-diphenylacridane-based multiple resonance","Chemical Science (2024), 15(33), 13290-13298",,51364-51-3,131274-22-1,,,865-48-5,,,,,,108-88-3,,,,,90,2024.0
289,31-614-CAS-38970012,589-09-3,3026215-95-9,,,1612157-87-5,90,"Fan, Ruoqian; Wen, Haili; Chen, Zhen; Xia, Yuanzhi; Fang, Weiwei",A General Protocol toward Synthesis of 3-Methylindoles Using,"Organic Letters (2024), 26(1), 22-28","chemoselective, Schlenk tube used, catalyst stoichiometry dependent",2873417-75-3,,,,865-48-5,,,,,,123-91-1,,,,,90,2024.0
290,31-614-CAS-39194492,1914543-70-6,3028467-97-9,,,3033294-97-9,90,"Wu, Chenggui; Liu, Ze-Shui; Shang, Yong; Liu, Chang; Deng, Shuang; Cheng,",Asymmetric Two-Component Alkenyl Catellani Reaction for the Construction,"Chinese Journal of Chemistry (2024), 42(7), 699-704","stereoselective (ee = 89%), Catellani reaction, sealed vial used",3375-31-3,2248160-18-9,,,584-08-7,,,,,,109-99-9,,,,,90,2024.0
291,31-614-CAS-38970011,589-09-3,42860-10-6,,,1252780-90-7,90,"Fan, Ruoqian; Wen, Haili; Chen, Zhen; Xia, Yuanzhi; Fang, Weiwei",A General Protocol toward Synthesis of 3-Methylindoles Using,"Organic Letters (2024), 26(1), 22-28","chemoselective, Schlenk tube used, catalyst stoichiometry dependent",2873417-75-3,,,,865-48-5,,,,,,123-91-1,,,,,90,2024.0
292,31-614-CAS-40129182,3036635-43-2,,,,3047886-52-9,90,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, 94% ee, see experimental details,",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,90,2023.0
293,31-614-CAS-38969960,95-50-1,61219-93-0,,,2495114-00-4,90,"Fan, Ruoqian; Wen, Haili; Chen, Zhen; Xia, Yuanzhi; Fang, Weiwei",A General Protocol toward Synthesis of 3-Methylindoles Using,"Organic Letters (2024), 26(1), 22-28",Schlenk tube used,2873417-75-3,,,,865-48-5,,,,,,123-91-1,,,,,90,2024.0
294,31-614-CAS-38970008,454-78-4,589-09-3,,,3026215-61-9,90,"Fan, Ruoqian; Wen, Haili; Chen, Zhen; Xia, Yuanzhi; Fang, Weiwei",A General Protocol toward Synthesis of 3-Methylindoles Using,"Organic Letters (2024), 26(1), 22-28","chemoselective, Schlenk tube used, catalyst stoichiometry dependent",2873417-75-3,,,,865-48-5,,,,,,123-91-1,,,,,90,2024.0
295,31-614-CAS-41203533,51-17-2,88-73-3,,,25688-28-2,90,"Chandrashekharan, Bhuwaneshwari; Sampatkumar, Harini G.; George, Dani;",Palladium nanoparticle immobilized on coconut coir extract coated boron,"Diamond and Related Materials (2024), 147111261","green chemistry-catalyst, recyclable catalyst, catalyst prepared and used",7440-05-3,,,,534-17-8,,,,,,68-12-2,,,,,90,2024.0
296,31-614-CAS-42014410,100-61-8,556-97-8,,,474352-69-7,90,"Li, Cheuk Long; Tse, Man Ho; Choy, Pui Ying; Kwong, Fuk Yee",Application of indole-based monophosphine in ppm level Pd-catalyzed C-N,"Journal of Organometallic Chemistry (2024), 1011123124","Buchwald-Hartwig amination, catalyst prepared and used, Schlenk tube used",3375-31-3,3058377-30-0,,,865-48-5,,,,,,75-09-2,108-88-3,110-54-3,7732-18-5,,90,2024.0
297,31-614-CAS-40129189,3036635-59-0,,,,3047886-67-6,90,"Zhang, Peng; Guo, Chang-Qiu; Yao, Wang; Lu, Chuan-Jun; Li, Yingzi; Paton,",Pd-Catalyzed Asymmetric Amination of Enamines: Expedient Synthesis of,"ACS Catalysis (2023), 13(11), 7680-7690","stereoselective, Schlenk tube used, 92% ee, see experimental details,",3375-31-3,76189-56-5,,,534-17-8,,,,,,108-88-3,,,,,90,2023.0
298,31-614-CAS-39722163,52769-10-5,3068941-52-3,,,3068941-59-0,90,"Teng, Yaxin; Wu, Rui; Bo, Weichen; Tang, Minghai; Wang, TaiJin; Cui, Xue;",Fragment growth-based discovery of novel TNIK inhibitors for the,"European Journal of Medicinal Chemistry (2024), 268116240",Buchwald-Hartwig coupling,51364-51-3,213697-53-1,,,865-48-5,,,,,,108-88-3,,,,,90,2024.0
299,31-614-CAS-37487008,2971798-76-0,630-08-0,,,2971797-51-8,90,"Alam, Ryan M.; Keating, John J.","Accessing Dihydropyrrolo[3,4-b]indol-1(2H)-ones via Pd-Catalyzed","European Journal of Organic Chemistry (2023), 26(34), e202300646",stage 1 and stage 2 mixed after 10 minutes (stage 2),3375-31-3,161265-03-8,,,121-44-8,64-18-6,124-63-0,,,,108-88-3,,,,,90,2023.0
300,31-614-CAS-38470391,4627-22-9,2657730-59-9,,,2657728-40-8,90,"Liao, Chuanxin; Chen, Bo; Xie, Qi; Li, Xianggao; Liu, Hongli; Wang,",A Breakthrough in Solution-Processed Ultra-Deep-Blue HLCT OLEDs: A Record,"Advanced Materials (Weinheim, Germany) (2023), 35(48), 2305310",,51364-51-3,,,,865-48-5,13716-12-6,,,,,108-88-3,,,,,90,2023.0
301,31-614-CAS-38006381,591-18-4,2982878-50-0,,,2982878-51-1,90,"Sano, Yusuke; Shintani, Toshiki; Hayakawa, Masahiro; Oda, Susumu; Kondo,",One-Shot Construction of BN-Embedded Heptadecacene Framework Exhibiting,"Journal of the American Chemical Society (2023), 145(21), 11504-11511",,51364-51-3,161265-03-8,,,865-48-5,,,,,,108-88-3,,,,,90,2023.0
302,31-614-CAS-35649898,123-75-1,144-62-7,769968-23-2,,2912523-69-2,90,"Shaifali; Sharma, Poonam; Mehara, Pushkar; Das, Pralay",Supported Palladium-Catalyzed Tandem Synthesis of,"Chemistry - An Asian Journal (2023), 18(6), e202201288",heterogeneous polystyrene-supported palladium nanoparticles prepared and,7440-05-3,,,,584-08-7,,,,,,68-12-2,1330-20-7,,,,90,2023.0
303,31-614-CAS-41071023,692279-78-0,3050665-19-2,,,3080208-56-3,90,"Jin, Liang; Li, Ya; Mao, Yihui; He, Xiao-Bao; Lu, Zhan; Zhang, Qi; Shi,",Chiral dinitrogen ligand enabled asymmetric Pd/norbornene cooperative,"Nature Communications (2024), 15(1), 4908","molecular sieves used, 90% ee, Schlenk tube used",51364-51-3,2641594-79-6,,,498-66-8,10294-26-5,,,,,108-88-3,7732-18-5,,,,90,2024.0
304,31-614-CAS-36221264,29875-73-8,1233220-09-1,,,2919407-98-8,90,"Lei, Bowen; Huang, Zhenmei; Li, Songtao; Liu, Junjie; Bin, Zhengyang;",Medium-Ring Strategy Enables Multiple Resonance Emitters with Twisted,"Angewandte Chemie, International Edition (2023), 62(12), e202218405",thermal,3375-31-3,131274-22-1,,,865-48-5,,,,,,108-88-3,,,,,90,2023.0
305,31-614-CAS-39355758,100-61-8,2649378-92-5,,,2649378-94-7,90,"Grimm, Jonathan B.; Tkachuk, Ariana N.; Patel, Ronak; Hennigan, S.",Optimized Red-Absorbing Dyes for Imaging and Sensing,"Journal of the American Chemical Society (2023), 145(42), 23000-23013",reaction in a sealed vial,51364-51-3,564483-18-7,,,534-17-8,,,,,,123-91-1,,,,,90,2023.0
306,31-614-CAS-38969994,589-09-3,6627-51-6,,,2495113-86-3,90,"Fan, Ruoqian; Wen, Haili; Chen, Zhen; Xia, Yuanzhi; Fang, Weiwei",A General Protocol toward Synthesis of 3-Methylindoles Using,"Organic Letters (2024), 26(1), 22-28","chemoselective, Schlenk tube used, catalyst stoichiometry dependent",2873417-75-3,,,,865-48-5,,,,,,123-91-1,,,,,90,2024.0
307,31-614-CAS-36748985,57260-71-6,62266-82-4,,,3054132-10-1,90,"Oboh, Edmund; Teixeira, Jose E.; Schubert, Tanner J.; Maribona, Adriana",Structure-Activity relationships of replacements for the,"Bioorganic & Medicinal Chemistry (2023), 86117295",sealed flask used,51364-51-3,787618-22-8,,,865-48-5,,,,,,123-91-1,,,,,90,2023.0
308,31-614-CAS-40733492,100-52-7,591-50-4,630-08-0,128231-55-0,3047136-66-0,90,"Liang, Qianqian; Gao, Shuo; Hao, Wentao; Zhang, Guoying",Palladium-Catalyzed Multicomponent Carbonylation of Halides to,"Journal of Organic Chemistry (2024), 89(12), 8537-8545","high pressure, stereoselective, autoclave used",53199-31-8,,,,1310-73-2,,,,,,100-66-3,,,,,90,2024.0
309,31-614-CAS-41860519,620-93-9,1611-92-3,,,393586-88-4,90,"Wu, Lin; Huang, Zhongyan; Miao, Jingsheng; Wang, Shuni; Li, Xinyao; Li,",Orienting Group Directed Cascade Borylation for Efficient One-Shot,"Angewandte Chemie, International Edition (2024), 63(18), e202402020",Buchwald-Hartwig reaction,51364-51-3,131274-22-1,,,865-48-5,,,,,,108-88-3,,,,,90,2024.0
310,31-614-CAS-41071038,692279-78-0,3050665-17-0,,,3080208-54-1,90,"Jin, Liang; Li, Ya; Mao, Yihui; He, Xiao-Bao; Lu, Zhan; Zhang, Qi; Shi,",Chiral dinitrogen ligand enabled asymmetric Pd/norbornene cooperative,"Nature Communications (2024), 15(1), 4908","molecular sieves used, 91% ee, Schlenk tube used",51364-51-3,2641594-79-6,,,498-66-8,10294-26-5,,,,,108-88-3,7732-18-5,,,,90,2024.0
311,31-614-CAS-39507249,86-74-8,3023351-04-1,,,3031167-60-6,90,"Ni, Mengjia; Gui, Shuanggen; Fu, Yang; Peng, Yiyuan; Ding, Qiuping","Synthesis of 2,4-Dicyanoalkylated Benzoxazines through Radical-mediated","Journal of Organic Chemistry (2024), 89(6), 3970-3976",,3375-31-3,131274-22-1,,,534-17-8,,,,,,108-88-3,,,,,90,2024.0
312,31-614-CAS-35422515,13273-53-5,34803-66-2,,,2898499-42-6,90,"Reichert, Elaine C.; Feng, Kaibo; Sather, Aaron C.; Buchwald, Stephen L.",Pd-Catalyzed Amination of Base-Sensitive Five-Membered Heteroaryl Halides,"Journal of the American Chemical Society (2023), 145(6), 3323-3329","sealed Schlenk tube used, thermal in stage 2",2489525-81-5,,,,18027-10-6,,,,,,109-99-9,,,,,90,2023.0
313,31-614-CAS-40259445,108-86-1,3037652-81-3,,,3037653-29-2,90,"Mahato, Rina; Yadav, Naveen; Hazra, Chinmoy Kumar",Synthesis of Azepinoindoles and Oxepinoindoles through,"Organic Letters (2024), 26(18), 3911-3916",Buchwald-Hartwig reaction,3375-31-3,131274-22-1,,,865-48-5,,,,,,108-88-3,,,,,90,2024.0
